# 2020-04-12 09:02:15 Translations: 866
Nr	Translated	Id	Translation	English
1	Y	analysis-page.changes	Wijzigingen	Changes
2	Y	analysis-page.overview	Overzicht in cijfers	Overview
3	Y	analysis-page.title	Analyse	Analysis
4	Y	analysis.by-location	Analyse per gebied	Explore by location
5	Y	analysis.by-network	Analyse per netwerk	Explore by network
6	Y	analysis.location.search-by-name	Zoek op naam	Search by name
7	Y	analysis.location.select-from-tree	Selecteer uit boomstructuur	Select from tree
8	Y	authenticate-page.title	Aanmelden...	Logging in...
9	Y	breadcrumb.analysis	Analyse	Analysis
10	Y	breadcrumb.changes	Wijzigingen	Changes
11	Y	breadcrumb.home	Start	Home
12	Y	breadcrumb.map	Kaart	Map
13	Y	breadcrumb.network	Netwerk	Network
14	Y	breadcrumb.node	Knooppunt	Node
15	Y	breadcrumb.node-changes	Knooppunt wijzigingen	Node changes
16	Y	breadcrumb.node-map	Knooppunt kaart	Node map
17	Y	breadcrumb.overview	Overzicht in cijfers	Overview
18	Y	breadcrumb.replication	Replicatie	Replication
19	Y	breadcrumb.route-changes	Route wijzigingen	Route changes
20	Y	breadcrumb.route-details	Route details	Route details
21	Y	breadcrumb.route-map	Route kaart	Route map
22	Y	breadcrumb.status	Status	Status
23	Y	breadcrumb.system	Systeem	System
24	Y	change-filter.legend	impact / alle	impacted / all
25	Y	change-filter.title	Filter	Filter
26	Y	change-set.header.achavi	achavi	achavi
27	Y	change-set.header.analysis	Analyse	Analysis
28	Y	change-set.header.analysis.happy	Er zijn verbeteringen in deze changeset.	This changeset brought improvements.
29	Y	change-set.header.analysis.investigate	Misschien is het de moeite om deze changeset eens na te kijken.	Maybe this changeset is worth a closer look.
30	Y	change-set.header.analysis.no-impact	De aanpassingen in deze changeset hebben geen impact op de analyse resultaten.	The changes do not seem to have an impact on the analysis result.
31	Y	change-set.header.change-set	Wijzigingenset	Changeset
32	Y	change-set.header.comment	Commentaar	Comment
33	Y	change-set.header.replication-number	Replicatie nummer	Minute diff
34	Y	change-set.network-changes.added-nodes	Toegevoegde punten die geen knooppunten zijn	Added non-network nodes
35	Y	change-set.network-changes.added-relations	Toegevoegde relaties die geen route relatie zijn	Added non-route relations
36	Y	change-set.network-changes.added-ways	Toegevoegde wegen	Added ways
37	Y	change-set.network-changes.network	Netwerk	Network
38	Y	change-set.network-changes.orphan-nodes-introduced	Volgende knooppunten maakten tot nu toe deel uit van dit netwerk, maar zijn knooppunt wees geworden	Following nodes that used to be part of this network have become orphan
39	Y	change-set.network-changes.orphan-routes-introduced	Volgende routes maakten deel uit van dit netwerk, maar zijn nu route wees geworden	Orphan routes added to this network
40	Y	change-set.network-changes.removed-nodes	Verwijderde punten die geen knooppunten zijn	Removed non-network nodes
41	Y	change-set.network-changes.removed-relations	Verwijderde relaties die geen route relatie zijn	Removed non-route relations
42	Y	change-set.network-changes.removed-ways	Verwijderde wegen	Removed ways
43	Y	change-set.network-changes.updated-nodes	Geweiziged punten die geen knooppunten zijn	Updated non-network nodes
44	Y	change-set.network-changes.updated-relations	Gewijzigde relaties die geen route relatie zijn	Updated non-route relations
45	Y	change-set.network-changes.updated-ways	Gewijzigde wegen	Updated ways
46	Y	change-set.network-diffs.network-created	Nieuw netwerk	Network created
47	Y	change-set.network-diffs.network-deleted	Netwerk verwijderd	Network deleted
48	Y	change-set.network-diffs.orphan-nodes-resolved	Knooppuntwezen toegevoegd aan dit netwerk	Orphan nodes added to this network
49	Y	change-set.orphan-nodes	Knooppuntwezen	Orphan node(s)
50	Y	change-set.orphan-nodes.title	Knooppuntwezen	Orphan nodes
51	Y	change-set.orphan-routes	Route wezen	Orphan route(s)
52	Y	change-set.orphan-routes.title	Routewezen	Orphan routes
53	Y	change-set.title	Wijzigingenset	Changeset
54	Y	changes-page.login-required	De details van de wijzigingshistoriek zijn enkel beschikbaar voor OpenStreetMap leden, na .	The details of the changes history are available to registered OpenStreetMap contributors only, after .
55	Y	changes-page.title	Wijzigingen	Changes
56	Y	changes.impact	Impact	Impact
57	Y	changes.no-changes	Geen wijzigingen	No changes
58	Y	country.at	Oostenrijk	Austria
59	Y	country.be	België	Belgium
60	Y	country.de	Duitsland	Germany
61	Y	country.fr	Frankrijk	France
62	Y	country.nl	Nederland	The Netherlands
63	Y	country.unsupported	Niet België, Nederland, Duitsland, Frankrijk of Oostenrijk	Unsupported (not Belgium, The Netherlands, Germany, France or Austria)
64	Y	doc-link.go-to-documentation	Ga naar de documentatie	Go to documentation
65	Y	export.cancel	Annuleren	Cancel
66	Y	export.default-pdf	Document (pdf)	Print (pdf)
67	Y	export.gpx	GPX bestand	GPX file
68	Y	export.navigation-instructions-pdf	Navigatie instructies (pdf)	Navigation instructions (pdf)
69	Y	export.node-strip-pdf	Knooppuntenstrip (pdf)	Node strip (pdf)
70	Y	export.ok	OK	OK
71	Y	export.title	Resultaat	Export
72	Y	fact-diffs.introduced-fact	Nieuw feit	Introduced fact
73	Y	fact-diffs.introduced-facts	Nieuwe feiten	Introduced facts
74	Y	fact-diffs.remaining-fact	Overblijvend feit	Remaining fact
75	Y	fact-diffs.remaining-facts	Overblijvende feiten	Remaining facts
76	Y	fact-diffs.resolved-fact	Opgelost feit	Resolved fact
